111: 'e'
1101: 's'
1100: 'h'
1011: 'i'
1010: 'n'
1001111: 'k'
10011101111: 'C'
10011101110: 'E'
1001110110: 'W'
100111010: 'P'
100111001: 'A'
100111000111: ')'
10011100011011: '8'
1001110001101011: '5'
10011100011010101: '4'
100111000110101001: 'ê'
1001110001101010001: 'à'
100111000110101000011: '﻿'
1001110001101010000101: 'ä'
1001110001101010000100: 'é'
100111000110101000001: '/'
100111000110101000000: '='
1001110001101001: '6'
1001110001101000: '3'
10011100011001: 'U'
100111000110001: 'Z'
10011100011000011: 'X'
10011100011000010: '9'
10011100011000001: '7'
10011100011000000: 'Q'
10011100010: 'O'
1001110000: 'S'
100110: 'y'
10010: 'l'
1000: 'o'
0111: 'a'
011011: 'g'
011010111: 'T'
011010110: '-'
0110101011: '?'
0110101010: 'M'
011010100: 'I'
0110100: 'v'
011001: 'f'
011000: 'w'
0101: 't'
01001: 'd'
010001: 'm'
010000: 'c'
001: ' '
0001111111: 'N'
0001111110: 'B'
000111110111: 'V'
000111110110: ':'
00011111010: 'F'
0001111100: 'H'
000111101: '''
0001111001: 'x'
0001111000: '!'
0001110: '.'
000101: '\n'
000100: 'u'
00001: 'r'
0000011: 'b'
00000101: '"'
00000100111: 'D'
00000100110: 'j'
000001001011111: '2'
000001001011110: '0'
00000100101110: '1'
00000100101101: '*'
00000100101100: 'J'
000001001010: ';'
00000100100: 'R'
00000100011: 'z'
00000100010: 'q'
000001000011: 'K'
000001000010: 'G'
000001000001: 'Y'
0000010000001: 'L'
0000010000000: '('
0000001: 'p'
0000000: ','
